------------ Data File Created By ActiGraph GT3X+ ActiLife v6.11.2 Firmware v1.5.0 date format M/d/yyyy at 100 Hz  Filter Normal -----------,,,
Serial Number: MOS2C10156277,,,
Start Time 14:18:00,,,
Start Date 7/9/2015,,,
Epoch Period (hh:mm:ss) 00:00:00,,,
Download Time 14:25:18,,,
Download Date 7/9/2015,,,
Current Memory Address: 0,,,
Current Battery Voltage: 4.19     Mode = 12,,,
--------------------------------------------------,,,
Timestamp,Axis1,Axis2,Axis3
0.50,0.184,0.035,-0.992
0.60,-0.684,-0.328,0.977
0.70,-0.93,-0.152,1.344
0.80,-0.883,0.039,0.598
0.90,-0.91,0.102,0.25
1.00,-0.945,0.125,0.102
1.10,-0.949,0.148,0.082
1.20,-0.984,0.148,0.066
1.30,-1.02,0.113,0.055
1.40,-1.016,0.09,0.051
1.50,-1.008,0.09,0.051
1.60,-1.012,0.102,0.059
1.70,-1.012,0.086,0.039
1.80,-1,0.098,0.023
1.90,-1.004,0.078,0.012
2.00,-1.012,0.047,-0.008
2.10,-0.992,-0.012,-0.055
2.20,-0.961,-0.008,-0.055
2.30,-0.973,0.047,-0.02
2.40,-1.008,0.078,-0.004
2.50,-1.008,0.082,-0.004
2.60,-0.977,0.102,0.004
2.70,-0.984,0.176,0.012
2.80,-1.02,0.227,0.008
2.90,-1.047,0.23,0.016
3.00,-1.02,0.184,0.012
3.10,-0.988,0.156,-0.004
3.20,-1.023,0.168,-0.012
3.30,-1.051,0.176,-0.016
3.40,-1.043,0.164,-0.008
3.50,-1.051,0.148,-0.004
3.60,-1.051,0.117,-0.008
3.70,-1.039,0.109,-0.02
3.80,-1.02,0.117,-0.016
3.90,-0.988,0.113,-0.023
4.00,-0.926,0.102,-0.031
4.10,-0.902,0.094,-0.047
4.20,-0.898,0.102,-0.031
4.30,-0.91,0.105,-0.016
4.40,-0.887,0.102,-0.004
4.50,-0.848,0.16,0.043
4.60,-0.863,0.195,0.063
4.70,-0.949,0.168,0.063
4.80,-1.023,0.129,0.059
4.90,-1.039,0.09,0.02
5.00,-1.008,0.07,-0.016
5.10,-1.016,0.102,-0.016
5.20,-1.012,0.137,0.02
5.30,-1.004,0.121,0.059
5.40,-1.027,0.102,0.059
5.50,-1.078,0.109,0.031
5.60,-1.121,0.031,-0.016
5.70,-1.105,-0.016,-0.02
5.80,-1.066,-0.055,-0.047
5.90,-1.004,-0.055,-0.035
6.00,-0.977,-0.047,-0.047
6.10,-0.98,-0.016,-0.035
6.20,-0.996,0.012,-0.008
6.30,-1.016,0.027,0
6.40,-1.043,0.039,0.004
6.50,-1.051,0.047,0.008
6.60,-1.074,0.047,0.004
6.70,-1.098,0.031,-0.02
6.80,-1.125,0.02,-0.02
6.90,-1.145,0.008,-0.031
7.00,-1.16,-0.008,-0.066
7.10,-1.172,0.031,-0.012
7.20,-1.148,0.066,-0.043
7.30,-1.051,0.102,-0.02
7.40,-1.031,0.031,-0.035
7.50,-1.074,-0.02,-0.008
7.60,-1.18,0.043,0.012
7.70,-1.199,0.043,0.012
7.80,-1.145,0.031,0.02
7.90,-1.125,0.012,-0.035
8.00,-1.094,0.051,-0.051
8.10,-1.078,0.074,-0.082
8.20,-1.098,0.152,-0.059
8.30,-1.137,0.133,-0.082
8.40,-1.172,0.074,-0.09
8.50,-1.188,0.117,-0.031
8.60,-1.227,0.094,-0.035
8.70,-1.305,0.055,-0.055
8.80,-1.266,0.066,-0.074
8.90,-1.16,0.09,-0.066
9.00,-1.082,0.188,-0.109
9.10,-1.074,0.188,-0.156
9.20,-1.059,0.223,-0.145
9.30,-1.215,0.207,-0.152
9.40,-1.055,0.266,-0.102
9.50,-0.941,0.309,-0.059
9.60,-0.914,0.352,-0.043
9.70,-0.789,0.254,-0.113
9.80,-1.07,0.242,-0.227
9.90,-0.781,0.211,-0.09
10.00,-0.375,0.199,-0.02
10.10,-0.664,0.316,-0.078
10.20,-0.703,0.355,-0.047
10.30,-0.648,0.336,-0.059
10.40,-0.664,0.297,-0.098
10.50,-0.609,0.258,-0.082
10.60,-0.723,0.234,-0.047
10.70,-0.773,0.285,0.027
10.80,-0.703,0.316,0.055
10.90,-0.691,0.332,0.031
11.00,-0.715,0.352,-0.008
11.10,-0.734,0.359,-0.043
11.20,-0.746,0.348,-0.078
11.30,-0.746,0.336,-0.113
11.40,-0.738,0.305,-0.145
11.50,-0.727,0.301,-0.156
11.60,-0.727,0.289,-0.16
11.70,-0.746,0.281,-0.152
11.80,-0.766,0.281,-0.152
11.90,-0.773,0.293,-0.137
12.00,-0.766,0.313,-0.102
12.10,-0.75,0.371,-0.074
12.20,-0.785,0.387,-0.066
12.30,-0.82,0.414,-0.063
12.40,-0.73,0.383,-0.008
12.50,-1.031,0.414,-0.09
12.60,-1.164,0.379,-0.109
12.70,-1.086,0.336,-0.055
12.80,-1.066,0.262,-0.086
12.90,-1.137,0.223,-0.133
13.00,-1.145,0.238,-0.152
13.10,-1.188,0.246,-0.184
13.20,-1.18,0.242,-0.129
13.30,-1.156,0.285,-0.051
13.40,-1.25,0.266,-0.168
13.50,-1.234,0.234,-0.316
13.60,-1.113,0.27,-0.348
13.70,-0.914,0.34,-0.273
13.80,-0.773,0.402,-0.125
13.90,-0.816,0.379,-0.168
14.00,-0.984,0.363,-0.176
14.10,-1.09,0.289,-0.203
14.20,-1.18,0.211,-0.266
14.30,-1.063,0.18,-0.215
14.40,-0.961,0.168,-0.16
14.50,-0.941,0.168,-0.141
14.60,-0.984,0.164,-0.141
14.70,-1.035,0.156,-0.172
14.80,-1.023,0.156,-0.188
14.90,-1,0.156,-0.176
15.00,-0.969,0.164,-0.168
15.10,-0.953,0.18,-0.176
15.20,-0.953,0.199,-0.191
15.30,-0.922,0.215,-0.184
15.40,-0.902,0.27,0.09
15.50,-0.848,0.148,0.375
15.60,-0.77,0.039,-0.047
15.70,-0.766,0.023,-0.23
15.80,-0.801,0.066,-0.254
15.90,-0.988,0.133,-0.379
16.00,-1.098,0.172,-0.387
16.10,-0.992,0.211,-0.332
16.20,-1.059,0.172,-0.051
16.30,-0.98,0.242,0.145
16.40,-1.074,0.391,0.016
16.50,-1.207,0.41,-0.012
16.60,-1.293,0.41,0.004
16.70,-1.422,0.504,-0.063
16.80,-0.887,0.234,0.102
16.90,-0.797,0.184,0.117
17.00,-0.984,0.234,0.074
17.10,-0.988,0.199,0.102
17.20,-0.965,0.188,0.078
17.30,-1.008,0.18,0.02
17.40,-0.984,0.184,-0.023
17.50,-0.863,0.203,-0.023
17.60,-0.875,0.227,-0.027
17.70,-1.016,0.246,0.047
17.80,-0.867,0.086,0.258
17.90,-0.965,0.102,0.117
18.00,-1.047,0.195,0.105
18.10,-1.063,0.27,0.004
18.20,-1.082,0.297,-0.133
18.30,-1.012,0.215,-0.188
18.40,-1.117,0.117,-0.145
18.50,-1.281,0.051,0.07
18.60,-1.223,0.191,0.188
18.70,-1.035,0.223,0.078
18.80,-0.867,0.215,-0.023
18.90,-0.875,0.223,-0.133
19.00,-0.871,0.266,-0.145
19.10,-0.988,0.316,-0.102
19.20,-1.219,0.457,-0.148
19.30,-0.598,0.117,-0.043
19.40,-0.551,-0.051,-0.043
19.50,-0.949,0.082,-0.09
19.60,-0.996,0.16,0.012
19.70,-0.93,0.191,0.027
19.80,-0.949,0.219,0
19.90,-0.945,0.234,0.023
20.00,-1.043,0.254,-0.027
20.10,-1.098,0.262,-0.086
20.20,-1.055,0.258,-0.07
20.30,-1.012,0.246,-0.023
20.40,-1.008,0.219,-0.012
20.50,-1.07,0.211,-0.035
20.60,-1.055,0.203,-0.043
20.70,-1.113,0.215,-0.047
20.80,-1.117,0.23,-0.023
20.90,-1.105,0.25,-0.063
21.00,-1.066,0.285,-0.094
21.10,-1.016,0.258,-0.133
21.20,-0.934,0.188,-0.121
21.30,-0.906,0.152,-0.152
21.40,-0.824,0.172,-0.145
21.50,-0.852,0.234,-0.148
21.60,-0.809,0.223,-0.109
21.70,-0.809,0.172,-0.133
21.80,-0.855,0.191,-0.137
21.90,-0.992,0.191,-0.164
22.00,-0.91,0.176,-0.125
22.10,-0.902,0.207,-0.137
22.20,-0.941,0.203,-0.145
22.30,-1.23,0.18,-0.117
22.40,-1.16,0.246,-0.129
22.50,-1.012,0.238,-0.156
22.60,-1.004,0.234,-0.098
22.70,-0.953,0.207,-0.082
22.80,-0.988,0.188,-0.188
22.90,-0.93,0.199,-0.223
23.00,-0.898,0.195,-0.207
23.10,-0.918,0.195,-0.16
23.20,-0.969,0.188,-0.141
23.30,-1.004,0.176,-0.148
23.40,-0.926,0.172,-0.102
23.50,-0.836,0.172,-0.09
23.60,-0.926,0.176,-0.145
23.70,-0.969,0.191,-0.129
23.80,-1.047,0.188,-0.152
23.90,-1.07,0.184,-0.246
24.00,-1.258,0.258,-0.328
24.10,-1.184,0.273,-0.133
24.20,-0.82,0.254,0.199
24.30,-0.68,0.242,0.207
24.40,-0.738,0.273,0.047
24.50,-0.918,0.293,-0.082
24.60,-1.023,0.422,-0.328
24.70,-0.922,0.449,-0.691
24.80,-0.656,-0.051,-1.316
24.90,0.098,-0.715,-0.008
25.00,0.168,-0.293,0.484
25.10,-0.516,0.066,0.102
25.20,-1.277,0.262,-0.402
25.30,-1.465,0.156,-0.242
25.40,-1.344,0.188,0.094
25.50,-1.324,0.211,0.164
25.60,-1.348,0.137,-0.051
25.70,-1.422,0.254,-0.082
25.80,-1.477,0.406,0.023
25.90,-1.422,0.344,-0.008
26.00,-1.344,0.352,-0.078
26.10,-1.133,0.336,-0.129
26.20,-0.992,0.293,-0.203
26.30,-1.008,0.293,-0.184
26.40,-1.145,0.305,-0.18
26.50,-1.195,0.293,-0.156
26.60,-1.145,0.227,-0.117
26.70,-1.121,0.191,-0.098
26.80,-1.16,0.176,-0.055
26.90,-1.289,0.059,-0.059
27.00,-1.344,0.367,-0.172
27.10,-0.977,0.203,-0.18
27.20,-0.813,0.18,-0.145
27.30,-0.836,0.184,-0.191
27.40,-0.781,0.223,-0.203
27.50,-0.664,0.133,-0.285
27.60,-0.664,0.059,-0.355
27.70,-0.719,0.074,-0.32
27.80,-0.781,0.078,-0.293
27.90,-0.859,0.117,-0.254
28.00,-0.918,0.141,-0.219
28.10,-0.984,0.148,-0.207
28.20,-1.031,0.145,-0.199
28.30,-1.031,0.152,-0.191
28.40,-1.004,0.152,-0.18
28.50,-1.027,0.168,-0.195
28.60,-1.004,0.164,-0.195
28.70,-0.988,0.176,-0.199
28.80,-0.977,0.184,-0.195
28.90,-0.965,0.184,-0.188
29.00,-0.965,0.188,-0.191
29.10,-0.953,0.184,-0.199
29.20,-0.949,0.184,-0.188
29.30,-0.957,0.168,-0.203
29.40,-0.957,0.18,-0.203
29.50,-0.953,0.184,-0.191
29.60,-0.961,0.207,-0.188
29.70,-0.965,0.238,-0.188
29.80,-0.957,0.242,-0.188
29.90,-0.961,0.242,-0.188
30.00,-0.965,0.23,-0.18
30.10,-0.965,0.215,-0.18
30.20,-0.973,0.191,-0.191
30.30,-0.969,0.18,-0.195
30.40,-0.973,0.176,-0.203
30.50,-0.973,0.176,-0.207
30.60,-0.973,0.188,-0.203
30.70,-0.973,0.184,-0.203
30.80,-0.973,0.188,-0.207
30.90,-0.973,0.188,-0.211
31.00,-0.973,0.188,-0.211
31.10,-0.969,0.188,-0.207
31.20,-0.977,0.184,-0.203
31.30,-0.98,0.176,-0.211
31.40,-0.973,0.18,-0.211
31.50,-0.961,0.188,-0.207
31.60,-0.965,0.188,-0.203
31.70,-0.961,0.188,-0.199
31.80,-0.953,0.188,-0.195
31.90,-0.949,0.176,-0.203
32.00,-0.953,0.172,-0.211
32.10,-0.953,0.176,-0.215
32.20,-0.961,0.172,-0.219
32.30,-0.965,0.164,-0.223
32.40,-0.973,0.168,-0.227
32.50,-0.988,0.176,-0.23
32.60,-1,0.164,-0.227
32.70,-1.016,0.16,-0.227
32.80,-1.023,0.156,-0.23
32.90,-1.023,0.148,-0.242
33.00,-1.012,0.148,-0.25
33.10,-1,0.145,-0.25
33.20,-0.996,0.145,-0.246
33.30,-1,0.145,-0.238
33.40,-1.004,0.141,-0.234
33.50,-1,0.137,-0.23
33.60,-0.988,0.133,-0.227
33.70,-0.969,0.129,-0.227
33.80,-0.945,0.137,-0.227
33.90,-0.918,0.133,-0.227
34.00,-0.902,0.145,-0.223
34.10,-0.902,0.152,-0.215
34.20,-0.906,0.172,-0.207
34.30,-0.914,0.18,-0.199
34.40,-0.926,0.184,-0.199
34.50,-0.938,0.18,-0.199
34.60,-0.938,0.168,-0.199
34.70,-0.93,0.156,-0.203
34.80,-0.914,0.156,-0.203
34.90,-0.906,0.148,-0.211
35.00,-0.938,0.211,-0.199
35.10,-0.961,0.16,-0.215
35.20,-0.926,0.09,-0.258
35.30,-0.996,0.25,-0.238
35.40,-0.98,0.238,-0.23
35.50,-0.824,0.156,-0.27
35.60,-0.832,0.215,-0.223
35.70,-0.961,0.105,-0.328
35.80,-0.93,0.117,-0.266
35.90,-0.898,0.141,-0.145
36.00,-1.004,0.059,-0.18
36.10,-1.199,0.074,-0.23
36.20,-1.125,0.078,-0.238
36.30,-0.965,0.113,-0.152
36.40,-0.965,0.09,-0.207
36.50,-1.004,0.082,-0.242
36.60,-0.992,0.113,-0.219
36.70,-1.035,0.059,-0.27
36.80,-1.063,0.035,-0.273
36.90,-1.066,0.012,-0.281
37.00,-1.074,0,-0.281
37.10,-1.078,0.008,-0.285
37.20,-1.051,0.02,-0.27
37.30,-1.016,0.039,-0.262
37.40,-0.984,0.063,-0.262
37.50,-0.965,0.082,-0.266
37.60,-0.949,0.09,-0.273
37.70,-0.945,0.102,-0.266
37.80,-0.957,0.113,-0.266
37.90,-0.961,0.125,-0.262
38.00,-0.949,0.137,-0.246
38.10,-0.941,0.152,-0.223
38.20,-0.934,0.109,-0.246
38.30,-0.938,0.098,-0.238
38.40,-0.996,0.066,-0.242
38.50,-1.008,0.047,-0.25
38.60,-0.895,-0.008,-0.238
38.70,-0.82,-0.039,-0.207
38.80,-0.906,-0.051,-0.289
38.90,-0.898,-0.023,-0.23
39.00,-1.074,-0.023,-0.281
39.10,-1.125,-0.023,-0.281
39.20,-1.109,-0.008,-0.301
39.30,-0.875,0.012,-0.238
39.40,-0.914,0.07,-0.219
39.50,-1.141,0.023,-0.316
39.60,-1.141,0.008,-0.27
39.70,-1.098,0,-0.254
39.80,-0.992,0.082,-0.184
39.90,-0.965,0.09,-0.219
40.00,-0.949,0.078,-0.254
40.10,-0.941,0.063,-0.25
40.20,-0.938,0.039,-0.234
40.30,-0.961,0.027,-0.238
40.40,-0.977,0.02,-0.238
40.50,-0.977,0.027,-0.23
40.60,-0.961,0.051,-0.227
40.70,-0.953,0.074,-0.227
40.80,-0.945,0.098,-0.227
40.90,-0.93,0.113,-0.227
41.00,-0.922,0.117,-0.227
41.10,-0.941,0.105,-0.23
41.20,-0.957,0.098,-0.23
41.30,-0.945,0.121,-0.223
41.40,-0.91,0.137,-0.207
41.50,-0.914,0.145,-0.199
41.60,-0.945,0.145,-0.191
41.70,-0.977,0.137,-0.18
41.80,-1,0.121,-0.18
41.90,-1.012,0.105,-0.172
42.00,-1.012,0.109,-0.164
42.10,-1.023,0.105,-0.18
42.20,-1.012,0.137,-0.184
42.30,-0.992,0.156,-0.199
42.40,-0.938,0.172,-0.191
42.50,-0.906,0.188,-0.191
42.60,-0.891,0.199,-0.191
42.70,-0.891,0.215,-0.184
42.80,-0.891,0.207,-0.176
42.90,-0.91,0.195,-0.168
43.00,-0.941,0.188,-0.164
43.10,-0.973,0.176,-0.164
43.20,-0.992,0.172,-0.16
43.30,-1.016,0.16,-0.164
43.40,-1.035,0.152,-0.164
43.50,-1.043,0.141,-0.168
43.60,-1.035,0.137,-0.172
43.70,-1.02,0.148,-0.18
43.80,-1.008,0.148,-0.191
43.90,-1,0.148,-0.191
44.00,-0.996,0.141,-0.191
44.10,-0.992,0.129,-0.199
44.20,-0.98,0.121,-0.195
44.30,-0.973,0.105,-0.195
44.40,-0.973,0.109,-0.184
44.50,-0.977,0.113,-0.176
44.60,-1,0.113,-0.164
44.70,-1.016,0.117,-0.168
44.80,-1.023,0.113,-0.168
44.90,-1.012,0.105,-0.176
45.00,-0.996,0.102,-0.168
45.10,-0.984,0.098,-0.18
45.20,-0.973,0.094,-0.191
45.30,-0.961,0.094,-0.199
45.40,-0.949,0.105,-0.188
45.50,-0.965,0.121,-0.191
45.60,-1.004,0.105,-0.227
45.70,-1,0.082,-0.215
45.80,-0.992,0.094,-0.199
45.90,-1.008,0.082,-0.215
46.00,-1.004,0.082,-0.211
46.10,-0.992,0.082,-0.211
46.20,-0.988,0.082,-0.195
46.30,-0.984,0.105,-0.176
46.40,-1.004,0.113,-0.188
46.50,-1.004,0.121,-0.195
46.60,-0.996,0.133,-0.184
46.70,-0.996,0.129,-0.184
46.80,-0.992,0.129,-0.176
46.90,-0.996,0.125,-0.172
47.00,-0.992,0.117,-0.176
47.10,-0.98,0.121,-0.168
47.20,-0.984,0.121,-0.18
47.30,-0.977,0.129,-0.168
47.40,-0.977,0.125,-0.164
47.50,-0.973,0.125,-0.164
47.60,-0.965,0.125,-0.168
47.70,-0.961,0.125,-0.184
47.80,-0.973,0.121,-0.184
47.90,-0.977,0.117,-0.188
48.00,-0.988,0.117,-0.184
48.10,-0.996,0.121,-0.184
48.20,-0.992,0.121,-0.18
48.30,-0.988,0.109,-0.188
48.40,-0.98,0.113,-0.191
48.50,-0.973,0.109,-0.191
48.60,-0.965,0.102,-0.188
48.70,-0.961,0.102,-0.188
48.80,-0.977,0.109,-0.188
48.90,-0.98,0.105,-0.184
49.00,-0.988,0.105,-0.188
49.10,-0.996,0.113,-0.191
49.20,-1,0.117,-0.191
49.30,-1,0.117,-0.191
49.40,-1,0.113,-0.191
49.50,-0.988,0.105,-0.188
49.60,-0.98,0.102,-0.188
49.70,-0.98,0.102,-0.18
49.80,-0.98,0.098,-0.18
49.90,-0.984,0.102,-0.188
50.00,-0.984,0.098,-0.184
50.10,-0.984,0.102,-0.188
50.20,-0.988,0.098,-0.191
50.30,-0.984,0.098,-0.191
50.40,-0.977,0.094,-0.191
50.50,-0.973,0.098,-0.184
50.60,-0.969,0.105,-0.176
50.70,-0.98,0.102,-0.18
50.80,-0.984,0.102,-0.176
50.90,-0.988,0.098,-0.172
51.00,-0.996,0.105,-0.16
51.10,-0.996,0.105,-0.156
51.20,-0.984,0.105,-0.152
51.30,-0.98,0.105,-0.156
51.40,-0.984,0.109,-0.16
51.50,-0.988,0.117,-0.16
51.60,-0.996,0.117,-0.16
51.70,-1,0.117,-0.16
51.80,-1.004,0.113,-0.156
51.90,-1,0.117,-0.152
52.00,-0.996,0.125,-0.152
52.10,-0.992,0.133,-0.156
52.20,-0.98,0.145,-0.152
52.30,-0.969,0.148,-0.156
52.40,-0.969,0.152,-0.156
52.50,-0.969,0.152,-0.156
52.60,-0.977,0.148,-0.152
52.70,-0.984,0.141,-0.145
52.80,-0.996,0.133,-0.145
52.90,-1.004,0.129,-0.145
53.00,-1.008,0.125,-0.137
53.10,-1.004,0.129,-0.137
53.20,-0.996,0.137,-0.137
53.30,-0.992,0.141,-0.133
53.40,-0.988,0.148,-0.133
53.50,-0.988,0.152,-0.129
53.60,-0.992,0.152,-0.129
53.70,-0.992,0.156,-0.125
53.80,-0.992,0.164,-0.129
53.90,-0.984,0.168,-0.129
54.00,-0.973,0.168,-0.129
54.10,-0.969,0.16,-0.129
54.20,-0.969,0.156,-0.129
54.30,-0.969,0.156,-0.125
54.40,-0.98,0.156,-0.125
54.50,-0.996,0.156,-0.125
54.60,-1,0.156,-0.125
54.70,-1.004,0.156,-0.129
54.80,-1,0.152,-0.129
54.90,-0.988,0.152,-0.129
55.00,-0.977,0.152,-0.125
55.10,-0.977,0.156,-0.125
55.20,-0.98,0.16,-0.125
55.30,-0.98,0.164,-0.125
55.40,-0.988,0.164,-0.125
55.50,-0.988,0.168,-0.133
55.60,-0.98,0.172,-0.133
55.70,-0.977,0.172,-0.129
55.80,-0.973,0.172,-0.129
55.90,-0.973,0.172,-0.129
56.00,-0.973,0.176,-0.129
56.10,-0.969,0.184,-0.125
56.20,-0.957,0.184,-0.121
56.30,-0.965,0.184,-0.121
56.40,-0.984,0.184,-0.117
56.50,-0.992,0.172,-0.105
56.60,-0.996,0.164,-0.102
56.70,-0.984,0.164,-0.109
56.80,-0.977,0.176,-0.117
56.90,-0.977,0.18,-0.113
57.00,-0.984,0.184,-0.109
57.10,-0.992,0.188,-0.102
57.20,-0.996,0.188,-0.105
57.30,-0.996,0.188,-0.109
57.40,-0.988,0.188,-0.105
57.50,-0.977,0.184,-0.098
57.60,-0.988,0.176,-0.082
57.70,-0.941,0.145,-0.094
57.80,-0.922,0.156,-0.145
57.90,-0.91,0.137,-0.121
58.00,-0.953,0.156,-0.133
58.10,-0.973,0.141,-0.109
58.20,-1.008,0.145,-0.109
58.30,-1.023,0.152,-0.113
58.40,-1.031,0.156,-0.117
58.50,-1.02,0.152,-0.121
58.60,-1.004,0.141,-0.125
58.70,-1,0.129,-0.125
58.80,-1,0.129,-0.129
58.90,-1.004,0.156,-0.117
59.00,-0.988,0.129,-0.121
59.10,-0.996,0.129,-0.137
59.20,-1,0.105,-0.137
59.30,-1.004,0.082,-0.129
59.40,-1.008,0.07,-0.125
59.50,-1.031,0.082,-0.117
59.60,-1.051,0.102,-0.109
59.70,-1.035,0.113,-0.109
59.80,-1.02,0.109,-0.117
59.90,-0.992,0.121,-0.109
60.00,-0.988,0.133,-0.109
60.10,-0.996,0.148,-0.113
60.20,-1.012,0.156,-0.117
60.30,-1.023,0.172,-0.121
60.40,-1.027,0.168,-0.113
60.50,-1.023,0.152,-0.102
60.60,-1.02,0.172,-0.109
60.70,-1.004,0.168,-0.105
60.80,-0.98,0.129,-0.145
60.90,-0.969,0.129,-0.141
61.00,-0.973,0.109,-0.145
61.10,-0.992,0.102,-0.164
61.20,-1.008,0.102,-0.168
61.30,-1.012,0.102,-0.168
61.40,-1.016,0.113,-0.172
61.50,-1.02,0.121,-0.168
61.60,-1.012,0.137,-0.172
61.70,-0.992,0.152,-0.18
61.80,-0.984,0.168,-0.191
61.90,-0.977,0.203,-0.195
62.00,-0.969,0.191,-0.199
62.10,-0.973,0.176,-0.207
62.20,-0.992,0.168,-0.219
62.30,-1.012,0.184,-0.219
62.40,-1.008,0.18,-0.199
62.50,-1.008,0.184,-0.207
62.60,-1.035,0.168,-0.215
62.70,-1.016,0.18,-0.195
62.80,-1.023,0.215,-0.195
62.90,-1.023,0.234,-0.207
63.00,-1,0.266,-0.227
63.10,-0.977,0.293,-0.242
63.20,-0.949,0.316,-0.281
63.30,-0.906,0.328,-0.316
63.40,-0.867,0.316,-0.332
63.50,-0.84,0.316,-0.359
63.60,-0.824,0.273,-0.398
63.70,-0.801,0.219,-0.426
63.80,-0.781,0.156,-0.453
63.90,-0.762,0.102,-0.461
64.00,-0.785,0.094,-0.5
64.10,-0.824,0.063,-0.496
64.20,-0.875,0.039,-0.504
64.30,-0.918,0.016,-0.5
64.40,-0.957,0.016,-0.516
64.50,-0.988,0.043,-0.504
64.60,-0.965,0.066,-0.488
64.70,-0.934,0.09,-0.469
64.80,-0.91,0.117,-0.477
64.90,-0.875,0.16,-0.465
65.00,-0.84,0.164,-0.465
65.10,-0.813,0.184,-0.461
65.20,-0.82,0.168,-0.453
65.30,-0.781,0.184,-0.422
65.40,-0.762,0.188,-0.406
65.50,-0.773,0.184,-0.387
65.60,-0.816,0.168,-0.367
65.70,-0.867,0.168,-0.375
65.80,-0.895,0.16,-0.383
65.90,-0.93,0.18,-0.395
66.00,-0.984,0.211,-0.395
66.10,-1.004,0.219,-0.359
66.20,-0.984,0.207,-0.352
66.30,-0.969,0.207,-0.352
66.40,-0.945,0.203,-0.34
66.50,-0.934,0.215,-0.332
66.60,-0.953,0.234,-0.313
66.70,-0.996,0.254,-0.305
66.80,-1.035,0.258,-0.285
66.90,-1.066,0.273,-0.281
67.00,-1.074,0.266,-0.273
67.10,-1.047,0.258,-0.254
67.20,-1.008,0.234,-0.234
67.30,-0.98,0.219,-0.227
67.40,-0.961,0.215,-0.219
67.50,-0.965,0.215,-0.223
67.60,-0.992,0.211,-0.219
67.70,-0.996,0.215,-0.188
67.80,-0.996,0.211,-0.172
67.90,-1.004,0.242,-0.145
68.00,-0.98,0.234,-0.148
68.10,-0.98,0.266,-0.164
68.20,-0.973,0.289,-0.176
68.30,-0.945,0.281,-0.184
68.40,-0.926,0.277,-0.184
68.50,-0.922,0.254,-0.188
68.60,-0.934,0.254,-0.191
68.70,-0.961,0.25,-0.207
68.80,-0.969,0.242,-0.207
68.90,-0.945,0.246,-0.195
69.00,-0.941,0.242,-0.195
69.10,-0.914,0.23,-0.191
69.20,-0.898,0.227,-0.195
69.30,-0.914,0.223,-0.195
69.40,-0.949,0.211,-0.195
69.50,-0.996,0.199,-0.191
69.60,-1.02,0.18,-0.176
69.70,-1.035,0.168,-0.172
69.80,-1.035,0.164,-0.172
69.90,-1.047,0.176,-0.188
70.00,-1.031,0.195,-0.188
70.10,-0.988,0.223,-0.184
70.20,-0.945,0.234,-0.184
70.30,-0.914,0.242,-0.188
70.40,-0.906,0.234,-0.191
70.50,-0.926,0.211,-0.199
70.60,-0.969,0.207,-0.207
70.70,-0.988,0.199,-0.195
70.80,-0.969,0.172,-0.176
70.90,-0.973,0.156,-0.176
71.00,-0.969,0.145,-0.168
71.10,-0.969,0.145,-0.164
71.20,-0.961,0.152,-0.152
71.30,-0.961,0.156,-0.137
71.40,-0.953,0.156,-0.125
71.50,-0.957,0.168,-0.109
71.60,-0.949,0.16,-0.09
71.70,-0.949,0.152,-0.063
71.80,-0.957,0.145,-0.043
71.90,-0.973,0.137,-0.02
72.00,-0.969,0.121,0
72.10,-0.969,0.102,0.023
72.20,-0.961,0.082,0.031
72.30,-0.945,0.07,0.039
72.40,-0.941,0.066,0.074
72.50,-0.98,0.066,0.109
72.60,-1.047,0.055,0.137
72.70,-1.113,0.027,0.145
72.80,-1.148,0.012,0.148
72.90,-1.148,-0.016,0.121
73.00,-1.113,-0.02,0.086
73.10,-1.066,0.004,0.07
73.20,-1.012,0.027,0.066
73.30,-0.996,0.055,0.078
73.40,-1,0.059,0.098
73.50,-1.008,0.09,0.125
73.60,-1.016,0.105,0.141
73.70,-1.012,0.133,0.156
73.80,-1.004,0.133,0.16
73.90,-1,0.168,0.168
74.00,-0.988,0.152,0.16
74.10,-0.988,0.168,0.156
74.20,-0.98,0.176,0.141
74.30,-1.027,0.152,0.109
74.40,-1.035,0.176,0.105
74.50,-1.023,0.195,0.066
74.60,-1.023,0.164,-0.004
74.70,-1.016,0.184,-0.043
74.80,-0.965,0.234,-0.051
74.90,-0.945,0.203,-0.063
75.00,-0.965,0.246,-0.059
75.10,-0.965,0.258,-0.047
75.20,-0.973,0.262,-0.039
75.30,-0.984,0.254,-0.031
75.40,-0.988,0.246,-0.035
75.50,-0.996,0.246,-0.047
75.60,-0.996,0.25,-0.051
75.70,-1.02,0.258,-0.055
75.80,-1.027,0.262,-0.059
75.90,-1.027,0.266,-0.07
76.00,-1.035,0.27,-0.074
76.10,-1.035,0.273,-0.07
76.20,-1.027,0.273,-0.078
76.30,-1.02,0.273,-0.098
76.40,-1.008,0.277,-0.113
76.50,-1.012,0.27,-0.137
76.60,-1.031,0.258,-0.152
76.70,-1.059,0.242,-0.168
76.80,-1.094,0.227,-0.172
76.90,-1.09,0.207,-0.156
77.00,-1.078,0.195,-0.176
77.10,-1.055,0.191,-0.191
77.20,-1.066,0.215,-0.211
77.30,-1.066,0.25,-0.219
77.40,-1.031,0.277,-0.238
77.50,-0.992,0.32,-0.262
